text_aktivitas,kategori,tingkat_aktivitas
Saya membantu saudara dengan menyediakan makanan ketika mereka dalam kesulitan.,Kindness,Ringan
Saya mengungkapkan perasaan saya kepada orang tua melalui video call.,Kindness,Berat
Saya memberikan hadiah kejutan berupa buku motivasi untuk anak.,Kindness,Menengah
Saya membantu seseorang yang sedang dalam kesulitan dengan memberi mendengarkan keluhan.,Kindness,Menengah
Saya menunjukkan kasih sayang kepada anak dengan cara mengucapkan kata-kata manis.,Kindness,Menengah
Saya memberikan kejutan manis kepada anak berupa hadiah buatan tangan.,Kindness,Menengah
Saya memberi dukungan emosional kepada pasangan saat ketika sedang sakit.,Kindness,Ringan
Saya membantu hewan peliharaan dengan mendengarkan keluhan ketika mereka dalam kesulitan.,Kindness,Ringan
Saya membantu hewan peliharaan dengan membantu membawa barang ketika mereka dalam kesulitan.,Kindness,Ringan
Saya meluangkan waktu untuk memasak bersama dengan pasangan.,Kindness,Menengah
Saya memberikan kejutan manis kepada anak berupa tiket konser.,Kindness,Ringan
Saya merayakan momen spesial dengan hewan peliharaan pada ulang tahun.,Kindness,Ringan
Saya meluangkan waktu untuk bermain permainan dengan hewan peliharaan.,Kindness,Menengah
Saya memberikan hadiah kejutan berupa tiket untuk aktivitas yang disukai untuk saudara.,Kindness,Ringan
Saya meluangkan waktu untuk menonton film bersama dengan orang tua.,Kindness,Ringan
Saya memberi dukungan emosional kepada anak saat ketika sedang sakit.,Kindness,Berat
Saya memberikan hadiah kejutan berupa parfum favorit untuk hewan peliharaan.,Kindness,Ringan
Saya memberi dukungan emosional kepada saudara saat kesulitan pekerjaan.,Kindness,Ringan
Saya memberikan kejutan manis kepada hewan peliharaan berupa tiket konser.,Kindness,Menengah
Saya menunjukkan kasih sayang kepada anak dengan cara memberikan pelukan.,Kindness,Menengah
Saya membantu orang tua dengan menyediakan makanan ketika mereka dalam kesulitan.,Kindness,Ringan
Saya meluangkan waktu untuk berkumpul di rumah dengan hewan peliharaan.,Kindness,Ringan
Saya mengungkapkan perasaan saya kepada hewan peliharaan melalui puisi.,Kindness,Ringan
Saya membantu anak dengan membantu membawa barang ketika mereka dalam kesulitan.,Kindness,Berat
Saya membantu teman terbaik dengan mendengarkan keluhan ketika mereka dalam kesulitan.,Kindness,Menengah
Saya berusaha menjaga hubungan dengan pasangan meski ada perbedaan.,Kindness,Ringan
Saya memberikan kejutan manis kepada saudara berupa bunga.,Kindness,Berat
Saya memberi dukungan emosional kepada saudara saat masalah pribadi.,Kindness,Berat
Saya memberikan kejutan manis kepada orang tua berupa kalung.,Kindness,Berat
Saya merayakan momen spesial dengan hewan peliharaan pada hari jadian.,Kindness,Ringan
Saya merayakan momen spesial dengan orang tua pada perayaan hari jadi pernikahan.,Kindness,Berat
Saya meluangkan waktu untuk menonton film bersama dengan anak.,Kindness,Menengah
Saya membantu anak dengan mendengarkan keluhan ketika mereka dalam kesulitan.,Kindness,Berat
Saya menunjukkan kasih sayang kepada orang tua dengan cara mengucapkan kata-kata manis.,Kindness,Ringan
Saya meluangkan waktu untuk berjalan-jalan di taman dengan teman terbaik.,Kindness,Menengah
Saya memberikan kejutan manis kepada saudara berupa kalung.,Kindness,Ringan
Saya meluangkan waktu untuk bermain permainan dengan saudara.,Kindness,Ringan
Saya membantu pasangan dengan membantu membawa barang ketika mereka dalam kesulitan.,Kindness,Ringan
Saya merayakan momen spesial dengan orang tua pada hari jadian.,Kindness,Berat
Saya memberikan kejutan manis kepada teman terbaik berupa boneka.,Kindness,Ringan
Saya membantu teman terbaik dengan membantu membersihkan rumah ketika mereka dalam kesulitan.,Kindness,Menengah
Saya meluangkan waktu untuk menonton film bersama dengan hewan peliharaan.,Kindness,Ringan
Saya memberikan hadiah kejutan berupa tiket untuk aktivitas yang disukai untuk hewan peliharaan.,Kindness,Ringan
Saya memberikan hadiah kejutan berupa bunga segar untuk orang tua.,Kindness,Ringan
Saya memberikan kejutan manis kepada orang tua berupa boneka.,Kindness,Menengah
Saya memberi dukungan emosional kepada orang tua saat masalah pribadi.,Kindness,Ringan
Saya mengungkapkan perasaan saya kepada teman terbaik melalui surat.,Kindness,Ringan
Saya merayakan momen spesial dengan orang tua pada Hari Valentine.,Kindness,Ringan
Saya memberi dukungan emosional kepada orang tua saat ketika merasa cemas.,Kindness,Ringan
Saya memberikan kejutan manis kepada saudara berupa boneka.,Kindness,Ringan
Saya merayakan momen spesial dengan anak pada Hari Valentine.,Kindness,Ringan
Saya merayakan momen spesial dengan anak pada hari libur keluarga.,Kindness,Menengah
Saya merayakan momen spesial dengan pasangan pada ulang tahun.,Kindness,Ringan
Saya menunjukkan kasih sayang kepada pasangan dengan cara memberikan pelukan.,Kindness,Menengah
Saya meluangkan waktu untuk menonton film bersama dengan pasangan.,Kindness,Menengah
Saya memberikan kejutan manis kepada teman terbaik berupa bunga.,Kindness,Ringan
Saya merayakan momen spesial dengan saudara pada hari jadian.,Kindness,Ringan
Saya membantu pasangan dengan menawarkan bantuan finansial ketika mereka dalam kesulitan.,Kindness,Ringan
Saya memberikan kejutan manis kepada pasangan berupa bunga.,Kindness,Menengah
Saya mengungkapkan perasaan saya kepada orang tua melalui puisi.,Kindness,Berat
Saya mengungkapkan perasaan saya kepada anak melalui video call.,Kindness,Ringan
Saya membantu teman terbaik dengan menyediakan makanan ketika mereka dalam kesulitan.,Kindness,Berat
Saya mengungkapkan perasaan saya kepada anak melalui pesan teks.,Kindness,Ringan
Saya memberikan hadiah kejutan berupa parfum favorit untuk teman terbaik.,Kindness,Ringan
Saya memberikan hadiah kejutan berupa parfum favorit untuk anak.,Kindness,Berat
Saya meluangkan waktu untuk berkumpul di rumah dengan orang tua.,Kindness,Ringan
Saya merayakan momen spesial dengan saudara pada perayaan hari jadi pernikahan.,Kindness,Berat
Saya merayakan momen spesial dengan hewan peliharaan pada hari libur keluarga.,Kindness,Ringan
Saya merayakan momen spesial dengan anak pada ulang tahun.,Kindness,Berat
Saya memberikan hadiah kejutan berupa tiket untuk aktivitas yang disukai untuk teman terbaik.,Kindness,Menengah
Saya memberikan kejutan manis kepada anak berupa surat cinta.,Kindness,Menengah
Saya mengungkapkan perasaan saya kepada teman terbaik melalui video call.,Kindness,Berat
